id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13824783,Full floor of a city cottage (up to 4 guests),55020055,Russ,,Lincoln Square,41.97654639192563,-87.68493430737107,Private room,56,2,25,2017-05-07,2.57,1,32
16740225,Guest Room of Two Bedroom Condo,36722941,Dan,,Lincoln Square,41.976521618876994,-87.68875498836796,Private room,36,1,0,,,3,0
18125245,"Cozy, spacious 2 flat in Lincoln Square!",51669215,Tyler,,Lincoln Square,41.97214501590578,-87.69912520197867,Private room,80,1,4,2017-05-09,4,1,158
8362570,Lincoln Square Ravenswood,32837114,Howard,,Lincoln Square,41.97100700324269,-87.6881294998824,Private room,80,2,12,2016-11-07,0.87,1,52
789867,Cozy Private Room in a Classic Chicago Appartment!,2782694,Cameron,,Lincoln Square,41.96413179791406,-87.67595080694412,Private room,20,3,96,2017-04-16,1.96,1,115
16701336,Master Bedroom of Two Bedroom Condo,36722941,Dan,,Lincoln Square,41.97645328697877,-87.6899705735214,Private room,28,1,1,2017-01-25,0.28,3,0
8148031,Real Chicago Experience,43018961,Renee,,Lincoln Square,41.968435509377834,-87.6775140149676,Private room,45,1,5,2017-05-07,0.92,1,36
6713059,Quaint apt in Chicago Brownstone,2441740,Kerith,,Lincoln Square,41.96747876990389,-87.69185889865197,Private room,48,1,14,2016-07-31,0.63,1,352
17620535,Stay ON the square in Lincoln Square!,756599,Rachel,,Lincoln Square,41.96668629455379,-87.68841462305993,Entire home/apt,149,2,0,,,1,339
12581064,Elegant vintage apartment in Ravenswood,23503681,Francesca,,Lincoln Square,41.965898839722286,-87.6812837246127,Entire home/apt,331,1,0,,,2,71
8764277,Large vintage with free parking,40622810,Lisa,,Lincoln Square,41.97283490821424,-87.68627173549143,Entire home/apt,89,2,8,2017-01-01,0.43,1,53
14669492,Lovely 3BR / 2BA Duplex in Chicago,13222552,Calli,,Lincoln Square,41.97634446153028,-87.68709849619236,Entire home/apt,119,2,27,2017-05-01,3.27,2,321
11034368,"Cozy, Trains, and Community",36392340,Isabelle,,Lincoln Square,41.96920292690127,-87.69312131482336,Entire home/apt,52,2,2,2016-06-14,0.14,1,4
17776058,Bright Ravenswood one-bedroom,121371279,Christine,,Lincoln Square,41.96469524895153,-87.6783465938829,Entire home/apt,69,2,1,2017-05-01,1,1,1
3068787,Lincoln Square Guest Suite 2 Bd 2Ba,7780304,Mark And Collette,,Lincoln Square,41.96315298450933,-87.6803976826757,Entire home/apt,150,3,40,2017-04-23,1.94,1,228
13219821,Clean and charming Lincoln Square gem,47420896,Sarah,,Lincoln Square,41.97171140040127,-87.69691916446112,Entire home/apt,150,2,6,2017-01-02,0.58,2,4
1249397,Spacious 3BD Home in Ravenswood,6808293,Jon,,Lincoln Square,41.97008925867546,-87.67423208003076,Entire home/apt,130,1,9,2016-11-26,0.20,1,123
4157774,Great Spacious Lincoln Sq Condo!,9510172,Russ,,Lincoln Square,41.96764579291501,-87.69037573614412,Entire home/apt,102,5,15,2017-01-18,0.49,1,19
14843458,Cute studio all to yourself!!,20653807,Jericho,,Lincoln Square,41.962149541271266,-87.6793295397749,Entire home/apt,69,3,8,2017-03-19,0.96,1,13
2613270,Zen Den Garden Apt - Lincoln Square,13382056,Alex,,Lincoln Square,41.968890813450464,-87.68905112139824,Entire home/apt,89,2,23,2017-03-26,0.62,1,65
18510290,Beautiful 2bed/2bath unit,54779246,Milos,,Lincoln Square,41.982146062582856,-87.69837380944398,Entire home/apt,139,2,0,,,1,153
1431467,Eclectic Lincoln Square 2-Bedroom,7693313,Kara,,Lincoln Square,41.97100922114555,-87.68877623121074,Entire home/apt,150,2,16,2016-10-09,0.46,1,273
722570,Modern & Cozy Lincoln Square Condo!,3731751,Kristi,,Lincoln Square,41.97483912594378,-87.69196442975964,Entire home/apt,139,1,16,2017-01-02,0.29,1,280
13988834,2 bdrm in Ravenswood neighborhood,705998,Tara,,Lincoln Square,41.96285022001471,-87.67806032789191,Entire home/apt,100,2,7,2017-05-07,0.74,1,0
1466368,"Lovely, Large  Lincoln Square Home",3682486,Gabi,,Lincoln Square,41.97050888391154,-87.6823449780011,Entire home/apt,310,3,19,2016-09-05,0.43,1,306
6585861,"Clean, safe and family-friendly",3711986,Guy,,Lincoln Square,41.970051787035345,-87.68436098598136,Entire home/apt,350,2,9,2017-01-01,0.39,1,21
6634916,Vintage Lincoln Square Sanctuary,34473759,Kerry,,Lincoln Square,41.97253752040358,-87.69630758908542,Private room,75,2,22,2017-03-19,1.10,2,70
